"SiteID","Longitude","Latitude","GPP"
"icr020861",-8.07572,37.2713,3.25532059027778
"icr020864",-8.07146,37.268,3.25532059027778
"icr020865",-8.07146,37.268,3.25532059027778
"icr020867",-8.07029,37.2693,3.25532059027778
"icr020868",-8.04191,37.2717,3.25532059027778
"icr020872",-8.0497,37.2744,3.25532059027778
"icr020873",-8.0497,37.2744,3.25532059027778
"icr020877",-8.04169,37.2689,3.25532059027778
"icr020879",-8.04547,37.2732,3.25532059027778
"icr020882",-8.04705,37.2679,3.25532059027778
"icr020888",-8.02105,37.2704,3.25532059027778
"icr020889",-8.02105,37.2704,3.25532059027778
"icr020895",-8.01498,37.272,3.25532059027778
"icr020900",-8.01869,37.2668,3.25532059027778
"icr020901",-8.01869,37.2668,3.25532059027778
"icr020903",-8.02242,37.2675,3.25532059027778
"icr020904",-8.01984,37.2698,3.25532059027778
"icr020907",-8.01953,37.2711,3.25532059027778
"icr020908",-8.00081,37.2724,3.25532059027778
"icr020909",-8.00081,37.2724,3.25532059027778
"icr020910",-8.00323,37.2745,3.25532059027778
"icr020912",-8.00285,37.2726,3.25532059027778
"icr020913",-8.00285,37.2726,3.25532059027778
"icr020914",-8.00265,37.2701,3.25532059027778
"icr020915",-8.00265,37.2701,3.25532059027778
"icr020917",-7.99755,37.2744,3.48324763888889
"icr020918",-7.99752,37.2746,3.48324763888889
"icr020922",-7.99868,37.2705,3.48324763888889
"icr020924",-8.00188,37.2718,3.25532059027778
"icr020926",-7.99808,37.2758,3.48324763888889
"icr020929",-8.06973,37.2885,3.25532059027778
"icr020930",-8.06973,37.2885,3.25532059027778
"icr020932",-8.06959,37.2941,3.25532059027778
"icr020933",-8.07242,37.2948,3.25532059027778
"icr020934",-8.07242,37.2948,3.25532059027778
"icr020939",-8.07329,37.2899,3.25532059027778
"icr020940",-8.07329,37.2899,3.25532059027778
"icr020941",-8.06521,37.2911,3.25532059027778
"icr020942",-8.06521,37.2911,3.25532059027778
"icr020943",-8.06851,37.2921,3.25532059027778
"icr020947",-8.04762,37.2957,3.25532059027778
"icr020949",-8.04402,37.289,3.25532059027778
"icr020950",-8.04402,37.289,3.25532059027778
"icr020951",-8.04994,37.2892,3.25532059027778
"icr020952",-8.04994,37.2892,3.25532059027778
"icr020955",-8.04369,37.2872,3.25532059027778
"icr020956",-8.04369,37.2872,3.25532059027778
"icr020957",-8.04655,37.2957,3.25532059027778
"icr020958",-8.04655,37.2957,3.25532059027778
"icr020960",-8.0449,37.2926,3.25532059027778
"icr020965",-8.04887,37.2918,3.25532059027778
"icr020966",-8.01964,37.2909,3.25532059027778
"icr020967",-8.01964,37.2909,3.25532059027778
"icr020968",-8.02208,37.2942,3.25532059027778
"icr020969",-8.02208,37.2942,3.25532059027778
"icr020970",-8.02381,37.2923,3.25532059027778
"icr020971",-8.02381,37.2923,3.25532059027778
"icr020972",-8.02142,37.2923,3.25532059027778
"icr020973",-8.02142,37.2923,3.25532059027778
"icr020974",-8.02501,37.2966,3.25532059027778
"icr020975",-8.02501,37.2966,3.25532059027778
"icr020976",-8.01976,37.2918,3.25532059027778
"icr020977",-8.01976,37.2918,3.25532059027778
"icr020978",-8.02184,37.2982,3.25532059027778
"icr020981",-8.02312,37.2979,3.25532059027778
"icr020982",-8.01703,37.2937,3.25532059027778
"icr020983",-8.01703,37.2937,3.25532059027778
"icr020984",-8.01902,37.2973,3.25532059027778
"icr020985",-8.01902,37.2973,3.25532059027778
"icr020986",-8.00173,37.2956,3.25532059027778
"icr020989",-8.00347,37.2961,3.25532059027778
"icr020990",-8.0041,37.2964,3.25532059027778
"icr020991",-8.0022,37.2925,3.25532059027778
"icr020992",-8.0022,37.2925,3.25532059027778
"icr020993",-8.00517,37.2921,3.25532059027778
"icr020994",-8.00517,37.2921,3.25532059027778
"icr020995",-8.00344,37.2966,3.25532059027778
"icr020998",-8.00348,37.2973,3.25532059027778
"icr020999",-8.00348,37.2973,3.25532059027778
"icr021002",-8.00179,37.2969,3.25532059027778
"icr021003",-8.00179,37.2969,3.25532059027778
"icr021005",-8.06769,37.3166,3.25532059027778
"icr021006",-8.06764,37.3122,3.25532059027778
"icr021007",-8.06764,37.3122,3.25532059027778
"icr021008",-8.07187,37.3141,3.25532059027778
"icr021010",-8.07174,37.3131,3.25532059027778
"icr021013",-8.06894,37.3143,3.25532059027778
"icr021014",-8.06894,37.3143,3.25532059027778
"icr021015",-8.07154,37.3126,3.25532059027778
"icr021016",-8.07154,37.3126,3.25532059027778
"icr021022",-8.06481,37.3148,3.25532059027778
"icr021023",-8.04236,37.3135,3.25532059027778
"icr021028",-8.04646,37.3158,3.25532059027778
"icr021031",-8.04561,37.3196,3.25532059027778
"icr021032",-8.04561,37.3196,3.25532059027778
"icr021033",-8.04605,37.315,3.25532059027778
"icr021034",-8.04605,37.315,3.25532059027778
"icr021035",-8.04345,37.3181,3.25532059027778
"icr021038",-8.04729,37.321,3.25532059027778
"icr021041",-8.04752,37.3177,3.25532059027778
"icr021045",-8.03018,37.3174,3.25532059027778
"icr021046",-8.03018,37.3174,3.25532059027778
"icr021051",-8.02561,37.3114,3.25532059027778
"icr021052",-8.02561,37.3114,3.25532059027778
"icr021056",-8.02538,37.3117,3.25532059027778
"icr021057",-8.02678,37.313,3.25532059027778
"icr021058",-8.02678,37.313,3.25532059027778
"icr021060",-8.02893,37.3161,3.25532059027778
"icr021062",-8.02816,37.3116,3.25532059027778
